time_seconds,temperature
1,16
2,16
3,16
7,16
8,16
10,16
11,16
13,16
13,16
14,16
15,16
16,16
17,16
18,16
19,16
21,16
21,16
22,16
24,16
25,16
26,16
27,16
28,16
29,16
31,16
31,16
32,16
33,16
34,16
36,16
37,16
40,16
40,17
41,17
41,20
68,33
71,33
70,33
73,33
73,32
74,32
76,32
77,31
78,31
80,32
81,31
81,32
82,32
87,30
85,31
88,29
88,29
89,29
91,29
91,29
94,28
95,28
96,28
97,28
100,27
102,27
104,27
106,26
107,26
108,26
110,26
110,26
111,26
112,26
113,26
114,25
115,25
116,25
117,25
119,25
119,25
122,24
124,24
126,24
127,24
127,24
128,24
130,24
130,24
131,24
133,24
135,23
135,24
137,24
137,24
138,24
141,23
142,23
143,23
143,23
146,23
144,23
147,23
149,22
149,22
150,22
152,22
153,22
156,22
157,22
159,22
160,22
161,22
161,22
163,22
163,22
164,22
165,22
167,22
173,20
172,21
174,21
174,22
175,21
176,21
176,21
177,21
180,21
182,21
183,21
183,21
184,21
185,21
186,21
186,21
188,21
189,21
190,21
191,21
194,21
194,21
196,21
197,21
198,21
200,21
202,21
203,21
203,21
204,21
205,21
206,21
208,21
209,21
211,20
212,20
212,20
219,20
221,20
226,20
230,20
231,20
233,20
234,20
235,20
236,20
237,20
238,20
243,20
243,20
245,20
245,20
246,20
247,20
248,20
251,20
252,20
253,20
254,20
256,20
257,20
259,20
261,20
261,20
263,20
265,20
266,20
267,20
269,20
271,20
270,20
272,20
273,20
274,20
274,20
278,20
278,20
281,20
283,20
283,20
285,20
286,20
288,20
289,20
291,20
291,20
292,20
297,20
297,20
298,20
300,19
302,19
302,19
304,20
306,20
307,20
307,20
309,20
311,20
312,19
313,20
314,20
315,20
315,20
317,20
319,20
322,19
323,20
323,20
324,20
327,19
328,20
